Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристый;19950 сом;"Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристыйПроцессор: E-350
	Частота процессора: 1600 МГц
	Объем жесткого диска: 320 ГБ
	Диагональ экрана: 11.6 ""
	Видеокарта: ATI Radeon HD 6310M
	Вес: 1.46 кг
	Оптический привод: DVD нет
	Bluetooth: есть
	Wi-Fi: есть";На складе;https://www.kivano.kg/product/view/noutbuk-sony-vaio-vpc-yb2l1r-amd-fusion-e-350-2gb-ddr3-320gb-hdd-serebristyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;39660 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-128gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;43140 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb;...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-1000gb-hdd-128gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;44880 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb;...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-1000gb-hdd-256gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 512GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;47490 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD + 512GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512  Gb;...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-1000gb-hdd-512gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD AMD Radeon Vega 8 Graphics FHD DOS черный;39660 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 1000GB HDD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-1000gb-hdd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;41310 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-256gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 480GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;43490 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 4GB DDR 480GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 480 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-4gb-ddr-480gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук MSI GF63 Thin 9SCSR-898XRU Intel Core i5-9300H 8GB DDR4 1000GB HDD Nvidia GTX 1650Ti 4GB FHD DOS черный;72690 сом;"Ноутбук MSI GF63 Thin 9SCSR-898XRU Intel Core i5-9300H 8GB DDR4 1000GB HDD Nvidia GTX 1650Ti 4GB FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-9300H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GTX 1650Ti; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя HDD: 1000 Gb; Вес: от 1.86 кг";На складе;https://www.kivano.kg/product/view/noutbuk-msi-gf63-thin-9scsr-898xru-intel-core-i5-9300h-8gb-ddr4-1000gb-hdd-nvidia-gtx-1650ti-4gb-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;41060 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-8gb-ddr-128gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
